track_id;song_name;album_name;album_release_date;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;streams
7pETV41GUutaZ6KMHMAYIH;Blew;Bleach;1989-06-01;False;0.411;0.882;1;-6.618;1;0.0556;5.65e-06;0.0147;0.298;0.531;129.848;4;62549214
0aMqNFBj9KtPTD3c3tByRT;Floyd The Barber;Bleach;1989-06-01;False;0.443;0.878;8;-6.717;0;0.0418;0.000788;0.56;0.0623;0.683;136.567;4;27963963
2SHTKB8YYlawTGIuJ2b2ok;About A Girl;Bleach;1989-06-01;False;0.413;0.875;6;-7.48;0;0.031;5.13e-06;0.00058;0.209;0.575;131.951;4;522570931
0EY1Z9UmZnYZyM7zHs6C0j;School;Bleach;1989-06-01;False;0.21;0.943;4;-7.656;1;0.0785;1.15e-05;0.493;0.0739;0.13;164.844;4;55328329
5muVpPu8Fj9fXfDbbqDdrZ;Love Buzz;Bleach;1989-06-01;False;0.479;0.865;5;-8.281;0;0.0339;3.1e-05;0.228;0.182;0.77;137.902;4;144080240
0cuawnxMvyCBwZbXtaTxmY;Paper Cuts;Bleach;1989-06-01;False;0.553;0.726;4;-7.462;1;0.0403;0.00205;0.17;0.139;0.361;102.094;4;17805960
5IeTFRymTDiza7DciBD1Gk;Negative Creep;Bleach;1989-06-01;False;0.37;0.947;2;-7.213;1;0.0901;7.97e-06;0.000175;0.0762;0.418;81.744;4;41971816
43OH1K8VQSctPPt7982cRF;Scoff;Bleach;1989-06-01;False;0.442;0.915;11;-7.751;0;0.0403;6.47e-06;0.865;0.114;0.735;145.27;4;14982394
7iU9kLfTsJxwBA931jm3Rv;Swap Meet;Bleach;1989-06-01;False;0.387;0.953;2;-7.143;1;0.0557;5.28e-05;2.45e-05;0.189;0.709;146.313;4;13597361
5TZbtpZcTWKEn81Du4hiTb;Mr. Moustache;Bleach;1989-06-01;False;0.194;0.898;0;-6.12;1;0.0608;5.58e-06;0.141;0.108;0.482;177.191;4;27312456
4ZWHaSHT6NGehQtNerMgTA;Sifting;Bleach;1989-06-01;False;0.42;0.747;0;-7.559;1;0.0394;8.7e-05;0.0125;0.106;0.583;115.4;4;10523379
6ZYvlKKiccbtX1N0lJUonV;Big Cheese;Bleach;1989-06-01;False;0.27;0.945;4;-6.65;0;0.0537;5.73e-06;0.0203;0.179;0.297;129.556;4;11640209
6YL8C91mzH8s0Qd14xBpJd;Downer;Bleach;1989-06-01;False;0.345;0.932;4;-6.109;0;0.112;0.000401;0.546;0.185;0.508;100.961;4;32259585
4CeeEOM32jQcH3eN9Q2dGj;Smells Like Teen Spirit;Nevermind (Remastered);1991-09-26;False;0.502;0.912;1;-4.556;1;0.0564;2.55e-05;0.000173;0.106;0.72;116.761;4;2288503585
2mvffzYUJ9Ld9xhsF5DUjU;In Bloom;Nevermind (Remastered);1991-09-26;False;0.436;0.876;10;-4.902;0;0.0647;3.33e-05;0.000104;0.205;0.512;157.044;4;386822370
